Sample.mat	Event.label	Event.device	Event.comment	Event.date	Season	Season.moment	Month	Season.code	Season.moment.code	Latitude	Longitude	Env.feature	Depth.nominal	Depth.top.min	Depth.bottom.max	Method	Marine.biome	Ocean.region	Biogeographical.province	pH	CO2	CO2.partial.pressure	CO2.fugacity	HCO3	CO3	Carbon.total	Alkalinity.total	Calcite.saturation.state	Aragonite.saturation.state	NO2	PO4	NO2NO3	Si	NO3	Temperature	Conductivity	Salinity	Density	Oxygen	ChlorophyllA	Ang.scat.coef.470nm	Opt.backscat.coef.470nm	Part.backscat.coef	Fluorescence	Opt.beam.att.coef.660nm	Part.beam.att.coef	PAR.PC	PAR.TO	Ice.free.period	Moon.phase.prop	Sunshine.duration	Iron.5m	Iron.5m.v2	Ammonium.5m	NO2.5m	NO3.5m	NPP.uqartakuvik	NPP.vgpm	Gradient.Surface.temp.SST.	Okubo.Weiss	Lyapunov	Residence.time	acCDOM	acCDOM.atsushi	sCDOM.atsushi	Depth.euph.zone	Depth.Mixed.Layer	Depth.chloro.max	Depth.max.Brunt.Väisälä	Depth.Max.O2	Depth.Min.O2	Depth.nitracline	Carbon.flux	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC.heterotrophs.cells.mL	FC.autotrophs.cells.mL	FC.bacteria.cells.mL	FC.picoeukaryotes.cells.mL	minimum.generation.time.h
TARA_025_DCM	TARA_20091123T1352Z_025_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Device: equipped with [ECOTriplet] sensors that measure temperature, CDOM and chlorophyll fluorescence ]	2009-11-23T13:52	autumn	late	11	3	3	39.3991	19.3997	discrete depth within the epipelagic zone (ENVO:00000209) at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210), <50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	50	48	52	SEQ-(500mL-or-15min)_W5-20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1055	NA	0.3595	1.354	NA	15.181967	46.930593	38.489083	28.626442	229.908917	0.134028	8.2e-05	0.000561	0.00226	1.845	0.059185	0.044578	NA	0.04793	365	0.37	587	0.00138795212842524	NA	0.0023266482554997	0.0286965935180585	0.0486669912934303	NA	420.545	2.035	0.369749	0	0	0.0344400592148304	NA	NA	61.9281349182129	31	47	44	39	785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_025_SRF	TARA_20091123T1102Z_025_EVENT_NET	plankton net [NET-BONGO-180]+[SIEVE-2000]	none	2009-11-23T11:02	autumn	late	11	3	3	39.2143	19.406	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N180-2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	8.136645	11.461316	344.759164	343.58112	NA	NA	NA	NA	NA	NA	0.00425	0.00525	0.03525	1.0505	NA	18.319192	49.946974	38.185333	27.633617	217.809833	0.104797	0.000103	0.000711	0.002397	1.465	0.086187	0.07158	NA	4.611558	365	0.37	588	0.00138795212842524	NA	0.0023266482554997	0.0286965935180585	0.0486669912934303	NA	420.545	2.035	0.369749	0	0	0.0340321362018585	NA	NA	66.8729858398438	31	47	44	39	785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_022_SRF	TARA_20091116T0816Z_022_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Engineer's log: No EVENT Logsheet] [Curator's log: No EVENT Logsheet]	2009-11-16T08:16	autumn	middle	11	3	2	39.8386	17.4155	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(100L-or-15min)_W0.8-5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0057	0.0518	0.0586	0.004	0.0073	0.0046	0.070975	0.0133	0.23125	1.9913	NA	17.298758	48.452198	37.839767	27.623392	221.54775	0.155586	0.000344	0.002433	0.004119	1.704583	0.16813	0.140201	NA	9.740976	365	0	597	0.00138803782950466	NA	0.00179241799438993	0.0265012976403038	0.0633485972260435	NA	654.913	0.25972	0.054261	0	0	0.0467732921242714	NA	NA	50.1125354766846	48	34	55	14	207	NA	2.05319533333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_022_SRF	TARA_20091116T1953Z_022_EVENT_NET	plankton net [NET-BONGO-180]+[SIEVE-2000]	none	2009-11-16T19:53	autumn	middle	11	3	2	39.8312	17.3952	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N180-2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0057	0.0518	0.0586	0.004	0.0073	0.0046	0.070975	0.0133	0.23125	1.9913	NA	17.298758	48.452198	37.839767	27.623392	221.54775	0.155586	0.000344	0.002433	0.004119	1.704583	0.16813	0.140201	NA	9.740976	365	0	598	0.00138803782950466	NA	0.00179241799438993	0.0265012976403038	0.0633485972260435	NA	654.913	0.24977	0.054261	0	0	0.0459077879786491	NA	NA	51.9446907043457	16	35	64	17	199	NA	1.34014211111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_022_SRF	TARA_20091116T1340Z_022_EVENT_NET	plankton net [NET-DOUBLE-20]+[SIEVE-180]	none	2009-11-16T13:40	autumn	middle	11	3	2	39.814	17.4138	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0057	0.0518	0.0586	0.004	0.0073	0.0046	0.070975	0.0133	0.23125	1.9913	NA	17.298758	48.452198	37.839767	27.623392	221.54775	0.155586	0.000344	0.002433	0.004119	1.704583	0.16813	0.140201	NA	9.740976	365	0	598	0.00138803782950466	NA	0.00179241799438993	0.0265012976403038	0.0633485972260435	NA	654.913	0.29299	0.054261	0	0	0.0467732921242714	NA	NA	50.1125354766846	37	13	59	13	707	NA	3.33826022222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_022_SRF	TARA_20091116T0816Z_022_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Engineer's log: No EVENT Logsheet] [Curator's log: No EVENT Logsheet]	2009-11-16T08:16	autumn	middle	11	3	2	39.8386	17.4155	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_W5-20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	0.0057	0.0518	0.0586	0.004	0.0073	0.0046	0.070975	0.0133	0.23125	1.9913	NA	17.298758	48.452198	37.839767	27.623392	221.54775	0.155586	0.000344	0.002433	0.004119	1.704583	0.16813	0.140201	NA	9.740976	365	0	597	0.00138803782950466	NA	0.00179241799438993	0.0265012976403038	0.0633485972260435	NA	654.913	0.25972	0.054261	0	0	0.0467732921242714	NA	NA	50.1125354766846	48	34	55	14	207	NA	2.05319533333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_023_SRF	TARA_20091118T1017Z_023_EVENT_NET	plankton net [NET-BONGO-180]+[SIEVE-2000]	[Logsheet: (Searson) PROTIST NET/ net tow]	2009-11-18T10:17	autumn	middle	11	3	2	42.1916	17.7175	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N180-2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009125	0.012	0.040875	1.372375	NA	17.211742	48.792899	38.22805	27.9429	221.782083	0.103935	0.000196	0.001405	0.003095	1.465	0.106234	0.078304	NA	10.129158	365	0.03	582	0.00138787750620395	NA	0.00143125304020941	0.0270646174127857	0.0774714822570483	NA	468.419	1.6157	-0.354776	0.078584	3.583333	0.0183994974941015	NA	NA	60.7361145019531	16	58	3	37	115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_023_SRF	TARA_20091118T1256Z_023_EVENT_NET	plankton net [NET-DOUBLE-20]+[SIEVE-180]	[Logsheet: (Searson) PROTIST NET/ net tow]	2009-11-18T12:56	autumn	middle	11	3	2	42.1735	17.7175	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_N20-180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009125	0.012	0.040875	1.372375	NA	17.211742	48.792899	38.22805	27.9429	221.782083	0.103935	0.000196	0.001405	0.003095	1.465	0.106234	0.078304	NA	10.129158	365	0.03	582	0.00138787750620395	NA	0.00143125304020941	0.0270646174127857	0.0774714822570483	NA	468.419	1.657	-0.354776	0.078584	3.583333	NA	NA	NA	NA	12	58	58	43	160	NA	1.89773322222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_023_SRF	TARA_20091118T0841Z_023_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Engineer's log: No EVENT Logsheet] [Curator's log: No EVENT Logsheet]	2009-11-18T08:41	autumn	middle	11	3	2	42.2038	17.715	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(100L-or-15min)_W0.8-5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009125	0.012	0.040875	1.372375	NA	17.211742	48.792899	38.22805	27.9429	221.782083	0.103935	0.000196	0.001405	0.003095	1.465	0.106234	0.078304	NA	10.129158	365	0.03	582	0.00138787750620395	NA	0.00143125304020941	0.0270646174127857	0.0774714822570483	NA	468.419	1.6157	-0.354776	0.078584	3.583333	NA	NA	NA	NA	16	58	3	37	115	NA	2.37647588888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_023_SRF	TARA_20091118T0841Z_023_EVENT_PUMP	high volume peristaltic pump [HVP-PUMP]	[Engineer's log: No EVENT Logsheet] [Curator's log: No EVENT Logsheet]	2009-11-18T08:41	autumn	middle	11	3	2	42.2038	17.715	discrete depth within the epipelagic zone (ENVO:00000209) at the top of the photic zone (ENVO:00000209)	5	3	7	SEQ-(500mL-or-15min)_W5-20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009125	0.012	0.040875	1.372375	NA	17.211742	48.792899	38.22805	27.9429	221.782083	0.103935	0.000196	0.001405	0.003095	1.465	0.106234	0.078304	NA	10.129158	365	0.03	582	0.00138787750620395	NA	0.00143125304020941	0.0270646174127857	0.0774714822570483	NA	468.419	1.6157	-0.354776	0.078584	3.583333	NA	NA	NA	NA	16	58	3	37	115	NA	2.37647588888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
