sample_id_pangaea	par	depth_bathy	lyapunov_exp	temperature	chla	backscattering	depth_chl_max	mixed_layer_depth_sigma	depth_max_brunt_väisälä	nitrite	phosphate	nitrate_nitrite	silicate	nstar
TARA_B100000035	49.136395	-3403	0.074837	25.329231	0.24107	0.003682	25	13	3	0.277	0.431	1.115	1.4395	-5.781
TARA_B100000066	52.602203	-3344	0.069484	26.313595	0.113641	0.003053	27	18	126	0.107	0.337	0.4195	1.278	-4.9725
TARA_B100000071	52.57096	-3350	0.069484	14.901445	0.002565	0.002325	27	16	114	0.691	2.639	23.43	38.94	-18.794
TARA_B100000073	52.602203	-3341	0.069484	25.607735	0.185922	0.003672	23		162	0.7	0.417	1.858	1.625	-4.814
TARA_B100000085	52.553085	-3265		26.692435	0.196803	0.002821	41	13	3	0.011	0.2465	0.0675	1.2415	-3.8765
TARA_B100000097	52.329227	-3147		15.553795	0.007712	0.002609	34	12	3	2.074	2.64	21.22	38.62	-21.02
TARA_B100000105	52.553085	-3265		26.692435	0.196803	0.002821	41	13	3	0.011	0.2465	0.0675	1.2415	-3.8765
TARA_B100000123	52.261414	-1828		30.12785	0.080016	0.002151	75	35	102	0.001	0.0765	0.022	2.171	-1.202
TARA_B100000131	52.261414	-1836		27.9561	0.228999	0.002313	70	26	105	0.152	0.2505	0.741	2.7335	-3.267
TARA_B100000161	53.475075	-3933	0.069572	30.59345	0.058503	0.002136	47	20	52					
TARA_B100000214	39.12644	-4657	0.074677	25.212642	0.228414	0.002434	68	57	73	0.032	0.159	0.4675	2.824	-2.0765
TARA_B100000242	48.974922	-2990	0.067544	29.818108	0.077086	0.002033	52	17	28	0.0055	0.0825	0.07475	2.22425	-1.24525
TARA_B100000282	53.352146	-3640	0.026178	29.151544	0.092377	0.002269	66	11	79	0.007	0.1565	0.057	1.3865	-2.447
TARA_B100000287	53.352146	-3625	0.026178	27.374181	0.166581	0.002323	57	11	29	0.2375	0.846	7.847	3.5765	-5.689
TARA_B100000315	50.14326	-3391	0.06187	11.984006	0.008026	0.00187	49		30					
TARA_B100000378	38.991837	-3368		6.195775	0	0.00171	85	82	93					
TARA_B100000401	26.49319	-4938	0.119044	22.2414	0.136664	0.00289	76	82	163	0.004	0.084	0	1.7665	-1.344
TARA_B100000405	26.339716	-4954	0.119044	22.215305	0.121203	0.002766	14	112	149	0.00875	0.08325		1.7355	
TARA_B100000408	26.49319	-4940	0.119044	7.552017	0	0.001775	55	57	185					
TARA_B100000424	51.863567	-4046	0.087015	25.064425	0.104143	0.002237	98	89	108	0.003	0.104	0.018	0.868	-1.646
TARA_B100000427	54.31349	-4008	0.087015	23.630095	0.242586	0.002644	99	86	98	0.011	0.143	0.044	1.284	-2.244
TARA_B100000446	42.012066	-4678	0.047133	4.188237	0	0.0018	42	146	156	0.01	2.522	36.73	44.86	-3.622
TARA_B100000459	42.012066	-4912	0.047133	19.77001	0.117466	0.002301	13	149	159	0.0465	0.309	0.8015	1.1485	-4.1425
TARA_B100000470	39.23567	-4894	0.120437	7.32145	0	0.001808	31	241	3	0.003	1.529	22.08	12.08	-2.384
TARA_B100000475	39.23567	-4935	0.120437	16.8632	0.309005	0.002782	42	174	353	0.201	0.1455	0.939	1.9865	-1.389
TARA_B100000482	39.23567	-4935	0.120437	16.74878	0.325714	0.002659	42	174	353	0.285	0.227	1.08	2.436	-2.552
TARA_B100000497	39.55903	-160	0	13.04322	0.765222	0.008134	14	24	35					
TARA_B100000508	51.863567	-4055	0.087015	4.641719	0	0.001807	93	75	105	0.007	2.618	36.98	34.44	-4.908
TARA_B100000513	49.647606	-3847	0.027592	23.374825	0.055113	0.002307	136	50	152	0.001404	0.055883	0	0.814172	-0.894128
TARA_B100000519	48.495186	-4087	0.027592	21.16596	0.103558	0.002043	139	23	202	0.047654	0.051522	0	0.712116	-0.824352
TARA_B100000524	51.30902	-3887	0.14819	20.07775	0.066207	0.00224	117	84	197	0	0	0.026	0.749	0.026
TARA_B100000530	51.30902	-3879	0.14819	19.32335	0.16855	0.00239	111	32	4	0.053	0	0.104	0.319	0.104
TARA_B100000575	34.63041	-4043	0.018781	22.78183	0.154999	0.002544	85	72	83	0.0415	0.5	2.676	1.0325	-5.324
TARA_B100000578	34.63041	-4043	0.018781	22.78183	0.154999	0.002544	85	72	83	0.0415	0.5	2.676	1.0325	-5.324
TARA_B100000579	33.229588	-3913	0.018781	19.783275	0.207911	0.002207	71	59	225	0.203	0.443	1.2215	0.9285	-5.8665
TARA_B100000581	33.229588	-3913	0.018781	19.783275	0.207911	0.002207	71	59	225	0.203	0.443	1.2215	0.9285	-5.8665
TARA_B100000585	34.662464	-3902	0.018781	10.69894	0.015423	0.001746	82	73	85					
TARA_B100000586	34.662464	-3902	0.018781	10.69894	0.015423	0.001746	82	73	85					
TARA_B100000609	53.863625	-4768	0.115437	26.218438	0.25349	0.002475	29	52	101	0.2715	0.53975	5.0815	2.668	-3.5545
TARA_B100000614	53.863625	-4767	0.115437	26.139288	0.28262	0.002446	43	22	113	0.2835	0.54925	5.264	2.7405	-3.524
TARA_B100000674	46.332516	-2640	0.043603	26.572419	0.261381	0.00259	34	90	113	0.1665	0.63025	6.2015	2.53325	-3.8825
TARA_B100000676	47.022877	-954	0.043603	24.81397	0.077051	0.002039	28	97	111	0.3535	0.4885	1.19925	1.469	-6.61675
TARA_B100000678	43.031143	-3328	0.028977	7.133995	0	0.001795	103	97	107					
TARA_B100000683	45.790096	-966	0.053774	26.586685	0.181215	0.002377	14	116	134	0.14425	0.53495	4.9015	2.2205	-3.6577
TARA_B100000686	45.790096	-985	0.053774	21.97372	0	0.001861	36	95	234	1.46875	0.6607	5.44175	1.18375	-5.12945
TARA_B100000700	43.29338	-3695	0.028977	24.661385	0.199886	0.002163	102	99	109	0.092792	0.582933	2.67775	1.907042	-6.649178
TARA_B100000745	51.30902	-3883	0.14819	5.823213	0	0.001794	105	12	7					
TARA_B100000749	49.647606	-3907	0.027592	4.664275	0	0.001883	126	43	143					
TARA_B100000767	60.47903	-3510	0.202122	7.154875	0.507313	0.00648	42	19	62	0.1185	1.356	18.525	2.661	-3.171
TARA_B100000768	60.358685	-2858	0.202122	7.579417	0.426587	0.006921	44	56	64	0.146	1.302	18.005	1.945	-2.827
TARA_B100000780	36.280083	-3983	0.082884	1.9034	0.207979	0.003026	63	45	69	0.266	1.723	25.3	16.55	-2.268
TARA_B100000787	30.518652	-3319	0.02576	0.73159	0.276495	0.002896	89	57	70	0.1055	2.1055	28.64	80.55	-5.048
TARA_B100000795	30.64844	-3335	0.02576	-0.792395	0.289537	0.00267	43	47	55	0.06	2.309	31	81.82	-5.944
TARA_B100000809	30.518652	-3331	0.02576	0.456763	0	0.001752	30	33	33	0.018	2.614	36.37	83.35	-5.454
TARA_B100000886	43.17719	-3906	0.050989	23.88925	0.091415	0.0021	145	67	75	0.006	0.2975	0.0315	0.558	-4.7285
TARA_B100000900	50.473106	-4111	0.012324	24.958885	0.264409	0.002808	26	22	34	0.3285	1.02575	12.8225	5.04425	-3.5895
TARA_B100000902	50.12605	-4117	0.012324	19.781235	0.365239	0.003152	39	11	44	1.202	1.8615	24.3645	10.5045	-5.4195
TARA_B100000925	42.257694	-3215	0.005026	27.497475	0.272009	0.002774	30	10	59	0.0455	0.2865	0.8935	1.7085	-3.6905
TARA_B100000927	42.257694	-3174	0.005026	26.019185	0.329704	0.002817	32	13	57	0.111	0.50475	4.638	3.225	-3.438
TARA_B100000929	40.68749	-3257	0.005026	11.142362	0	0.001814	24	10	69					
TARA_B100000941	29.96173	-3523	0.040113	24.26287	0.055382	0.002029	163	134	142	0.0075	0.14225	0.02525	0.7425	-2.25075
TARA_B100000945	30.02297	-3280	0.040113	21.94937	0.145434	0.002051	147	131	140	0.014	0.1145	0.04175	0.6935	-1.79025
TARA_B100000949	30.812738	-3641	0.040113	5.749106	0	0.00185	160	140	150					
TARA_B100000953	50.473106	-4118	0.012324	9.137438	0	0.001776	42	31	45	0.014	2.853	39.1775	40.579	-6.4705
