sample_id_pangaea	sample_material	event_date	event_latitude	event_longitude	depth_nominal	marine_biome	ocean_region	biogeo_province	station	depth	size_fraction	lower_size_fraction	upper_size_fraction	depthplot	sizeplot	station_plot	biomeplot	polar	abs_lat	uniq	complete	coral_station
TARA_A100000402	TARA_025_SRF_180-2000	2009-11-23T11:02	39.2143	19.406	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	025	SRF	180-2000	180	2000	SRF	meso	025 SRF	Westerlies	Non polar	39.2143	yes	yes	no
TARA_A100000532	TARA_022_SRF_180-2000	2009-11-16T19:53	39.8312	17.3952	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	180-2000	180	2000	SRF	meso	022 SRF	Westerlies	Non polar	39.8312	yes	no	no
TARA_A100000534	TARA_022_SRF_0.8-5	2009-11-16T08:16	39.8386	17.4155	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	0.8-5	0.8	5	SRF	piconano	022 SRF	Westerlies	Non polar	39.8386	yes	no	no
TARA_A100000536	TARA_022_SRF_180-2000	2009-11-16T19:53	39.8312	17.3952	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	180-2000	180	2000	SRF	meso	022 SRF	Westerlies	Non polar	39.8312	no	no	no
TARA_A100000538	TARA_022_SRF_20-180	2009-11-16T13:40	39.814	17.4138	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	20-180	20	180	SRF	micro	022 SRF	Westerlies	Non polar	39.814	yes	no	no
TARA_A100000539	TARA_022_SRF_5-20	2009-11-16T08:16	39.8386	17.4155	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	SRF	5-20	5	20	SRF	nano	022 SRF	Westerlies	Non polar	39.8386	yes	no	no
TARA_A100000546	TARA_023_SRF_180-2000	2009-11-18T10:17	42.1916	17.7175	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	180-2000	180	2000	SRF	meso	023 SRF	Westerlies	Non polar	42.1916	yes	yes	no
TARA_A100000547	TARA_023_SRF_5-20	2009-11-18T08:41	42.2038	17.715	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	5-20	5	20	SRF	nano	023 SRF	Westerlies	Non polar	42.2038	yes	yes	no
TARA_A100000548	TARA_023_SRF_20-180	2009-11-18T12:56	42.1735	17.7175	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	20-180	20	180	SRF	micro	023 SRF	Westerlies	Non polar	42.1735	yes	yes	no
TARA_A100000550	TARA_023_SRF_20-180	2009-11-18T12:56	42.1735	17.7175	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	20-180	20	180	SRF	micro	023 SRF	Westerlies	Non polar	42.1735	no	no	no
TARA_A100000551	TARA_023_SRF_0.8-5	2009-11-18T08:41	42.2038	17.715	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	0.8-5	0.8	5	SRF	piconano	023 SRF	Westerlies	Non polar	42.2038	yes	yes	no
TARA_A100000552	TARA_023_SRF_0.8-5	2009-11-18T08:41	42.2038	17.715	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	0.8-5	0.8	5	SRF	piconano	023 SRF	Westerlies	Non polar	42.2038	no	no	no
TARA_A100000553	TARA_023_SRF_5-20	2009-11-18T08:41	42.2038	17.715	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	SRF	5-20	5	20	SRF	nano	023 SRF	Westerlies	Non polar	42.2038	no	no	no
TARA_A100000554	TARA_023_DCM_180-2000	2009-11-18T16:32	42.1646	17.736	50	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	DCM	180-2000	180	2000	MIX/DCM	meso	023 MIX/DCM	Westerlies	Non polar	42.1646	yes	yes	no
TARA_A100000555	TARA_023_DCM_0.8-5	2009-11-18T13:50	42.1735	17.7252	55	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	DCM	0.8-5	0.8	5	MIX/DCM	piconano	023 MIX/DCM	Westerlies	Non polar	42.1735	yes	yes	no
TARA_A100000556	TARA_023_DCM_20-180	2009-11-18T13:52	42.1694	17.7179	50	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	DCM	20-180	20	180	MIX/DCM	micro	023 MIX/DCM	Westerlies	Non polar	42.1694	yes	yes	no
TARA_A100000557	TARA_023_DCM_180-2000	2009-11-18T16:32	42.1646	17.736	50	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	DCM	180-2000	180	2000	MIX/DCM	meso	023 MIX/DCM	Westerlies	Non polar	42.1646	no	no	no
TARA_A100000558	TARA_023_DCM_5-20	2009-11-18T13:50	42.1735	17.7252	55	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	DCM	5-20	5	20	MIX/DCM	nano	023 MIX/DCM	Westerlies	Non polar	42.1735	yes	yes	no
TARA_A100000559	TARA_023_DCM_0.8-5	2009-11-18T13:50	42.1735	17.7252	55	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	DCM	0.8-5	0.8	5	MIX/DCM	piconano	023 MIX/DCM	Westerlies	Non polar	42.1735	no	no	no
TARA_A100000560	TARA_023_DCM_5-20	2009-11-18T13:50	42.1735	17.7252	55	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	023	DCM	5-20	5	20	MIX/DCM	nano	023 MIX/DCM	Westerlies	Non polar	42.1735	no	no	no
TARA_A100000589	TARA_018_DCM_20-180	2009-11-02T14:15	35.7528	14.2765	80	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	DCM	20-180	20	180	MIX/DCM	micro	018 MIX/DCM	Westerlies	Non polar	35.7528	yes	yes	no
TARA_A100000594	TARA_018_SRF_180-2000	2009-11-02T11:25	35.7405	14.3238	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	SRF	180-2000	180	2000	SRF	meso	018 SRF	Westerlies	Non polar	35.7405	yes	yes	no
TARA_A100000595	TARA_018_SRF_0.8-5	2009-11-02T08:13	35.759	14.2574	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	SRF	0.8-5	0.8	5	SRF	piconano	018 SRF	Westerlies	Non polar	35.759	yes	yes	no
TARA_A100000596	TARA_018_SRF_20-180	2009-11-02T10:31	35.7444	14.3083	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	SRF	20-180	20	180	SRF	micro	018 SRF	Westerlies	Non polar	35.7444	yes	yes	no
TARA_A100000598	TARA_018_SRF_5-20	2009-11-02T08:13	35.759	14.2574	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	SRF	5-20	5	20	SRF	nano	018 SRF	Westerlies	Non polar	35.759	yes	yes	no
TARA_A100000600	TARA_018_DCM_180-2000	2009-11-02T14:30	35.7528	14.2765	80	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	DCM	180-2000	180	2000	MIX/DCM	meso	018 MIX/DCM	Westerlies	Non polar	35.7528	yes	yes	no
TARA_A100000602	TARA_018_DCM_5-20	2009-11-02T14:07	35.7528	14.2765	60	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	DCM	5-20	5	20	MIX/DCM	nano	018 MIX/DCM	Westerlies	Non polar	35.7528	yes	yes	no
TARA_A100000604	TARA_018_DCM_0.8-5	2009-11-02T14:07	35.7528	14.2765	60	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	018	DCM	0.8-5	0.8	5	MIX/DCM	piconano	018 MIX/DCM	Westerlies	Non polar	35.7528	yes	yes	no
TARA_A100000687	TARA_021_SRF_5-20	2009-11-15T07:58	37.5057	17.2174	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	021	SRF	5-20	5	20	SRF	nano	021 SRF	Westerlies	Non polar	37.5057	yes	no	no
TARA_A100000689	TARA_021_SRF_20-180	2009-11-15T10:50	37.5152	17.3171	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	021	SRF	20-180	20	180	SRF	micro	021 SRF	Westerlies	Non polar	37.5152	yes	no	no
TARA_A100000691	TARA_021_SRF_5-20	2009-11-15T07:58	37.5057	17.2174	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	021	SRF	5-20	5	20	SRF	nano	021 SRF	Westerlies	Non polar	37.5057	no	no	no
TARA_A100000692	TARA_021_SRF_0.8-5	2009-11-15T07:58	37.5057	17.2174	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	021	SRF	0.8-5	0.8	5	SRF	piconano	021 SRF	Westerlies	Non polar	37.5057	yes	no	no
TARA_A100000693	TARA_021_ZZZ_180-2000	2009-11-15T10:31	37.5145	17.3062	0-500	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	021	ZZZ	180-2000	180	2000		meso	021 NA	Westerlies	Non polar	37.5145	yes	no	no
TARA_A100000695	TARA_022_DCM_20-180	2009-11-16T17:03	39.8661	17.3868	60	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	DCM	20-180	20	180	MIX/DCM	micro	022 MIX/DCM	Westerlies	Non polar	39.8661	yes	no	no
TARA_A100000696	TARA_022_DCM_5-20	2009-11-16T14:53	39.5705	17.4101	30	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	DCM	5-20	5	20	MIX/DCM	nano	022 MIX/DCM	Westerlies	Non polar	39.5705	yes	no	no
TARA_A100000698	TARA_022_DCM_0.8-5	2009-11-16T14:53	39.5705	17.4101	30	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	DCM	0.8-5	0.8	5	MIX/DCM	piconano	022 MIX/DCM	Westerlies	Non polar	39.5705	yes	no	no
TARA_A100000700	TARA_022_DCM_180-2000	2009-11-16T09:37	39.8607	17.4105	60	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	022	DCM	180-2000	180	2000	MIX/DCM	meso	022 MIX/DCM	Westerlies	Non polar	39.8607	yes	no	no
TARA_A100000749	TARA_020_SRF_0.8-5	2009-11-12T14:09	34.453	14.9538	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	020	SRF	0.8-5	0.8	5	SRF	piconano	020 SRF	Westerlies	Non polar	34.453	yes	no	no
TARA_A100000750	TARA_020_SRF_20-180	2009-11-12T12:20	34.4933	14.9133	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	020	SRF	20-180	20	180	SRF	micro	020 SRF	Westerlies	Non polar	34.4933	yes	no	no
TARA_A100000751	TARA_020_SRF_20-180	2009-11-12T12:20	34.4933	14.9133	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	020	SRF	20-180	20	180	SRF	micro	020 SRF	Westerlies	Non polar	34.4933	no	no	no
TARA_A100000756	TARA_020_SRF_180-2000	2009-11-12T17:44	34.4064	15.043	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	020	SRF	180-2000	180	2000	SRF	meso	020 SRF	Westerlies	Non polar	34.4064	yes	no	no
TARA_A100000758	TARA_020_SRF_0.8-5	2009-11-12T14:09	34.453	14.9538	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	020	SRF	0.8-5	0.8	5	SRF	piconano	020 SRF	Westerlies	Non polar	34.453	no	no	no
