Dataset	Station	Tara_Sample_ID	"Depth, nominal"	Fraction_size	Latitude	Longitude	Zooplankton	Copepoda	Rhizaria	Cnidaria	Tunicata	Eumalacostraca	Pteropoda	Chaetognatha	Other_large	Other_small	Other_unidentified	Small_grazers	Diatoms	Dinoflagelates	Acartiidae	Aetideidae	Arietellidae	Augaptilidae	Calanidae	Calanoida_unidentified	Candaciidae	Centropagidae	Corycaeidae	Eucalanidae	Euchaetidae	Harpacticoida	Heterorhabdidae	Lubbockiidae	Metridinidae	Monstrilloida	Oithonidae	Oncaeidae	Paracalanidae	Pontellidae	Rhincalanidae	Sapphirinidae	Temoridae	All Calanoida	All Cyclopoida	All Harpacticoida	All Monstrilloida	All Poecilostomatoida	Copepoda_unidentified
regent	TARA_020	TARA_A100000747	0-300	680	34.4840	14.9083	10.80	5.33	0.33	1.46	0.19	0.85	0.42	0.85	0.47	0.90	0.28	0.09	0.00	0.00	0.00	0.00	0.00	2.31	0.19	0.00	0.42	0.00	0.09	0.05	1.60	0.00	0.05	0.00	0.05	0.00	0.00	0.00	0.00	0.09	0.00	0.28	0.00	4.76	0.00	0.00	0.00	0.38	0.09
regent	TARA_021	TARA_E200001300a	0-500	680	37.5112	17.2821	4.29	1.96	0.41	0.45	0.10	0.33	0.05	0.37	0.40	0.21	0.21	0.11	0.00	0.00	0.00	0.00	0.00	0.87	0.29	0.07	0.13	0.00	0.00	0.00	0.29	0.00	0.05	0.00	0.11	0.00	0.00	0.00	0.00	0.02	0.00	0.07	0.00	1.84	0.00	0.00	0.00	0.07	0.06
regent	TARA_022	TARA_S200001502	0-500	680	39.8280	17.4039	4.40	1.92	0.72	0.14	0.10	0.12	0.24	0.61	0.21	0.24	0.38	0.11	0.00	0.00	0.00	0.00	0.00	0.58	0.20	0.13	0.07	0.00	0.00	0.01	0.50	0.00	0.07	0.00	0.19	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.00	1.77	0.01	0.00	0.00	0.02	0.11
regent	TARA_023	TARA_E200001900	0-500	680	42.1760	17.7256	1.63	0.66	0.29	0.18	0.02	0.07	0.04	0.21	0.04	0.11	0.11	0.03	0.00	0.00	0.00	0.00	0.00	0.05	0.18	0.05	0.00	0.00	0.00	0.06	0.05	0.00	0.05	0.00	0.19	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.01	0.00	0.00	0.00	0.00
regent	TARA_024	TARA_A100000612	0-300	680	42.4569	17.9521	1.19	0.26	0.21	0.12	0.00	0.05	0.09	0.28	0.06	0.10	0.15	0.01	0.00	0.00	0.00	0.00	0.00	0.06	0.05	0.04	0.01	0.00	0.01	0.00	0.03	0.00	0.03	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.01	0.00
regent	TARA_025	TARA_A100000615	0-500	680	39.3751	19.4096	3.11	1.75	0.24	0.31	0.01	0.20	0.07	0.22	0.11	0.19	0.09	0.02	0.00	0.00	0.00	0.00	0.00	0.47	0.47	0.06	0.02	0.00	0.00	0.03	0.22	0.00	0.07	0.00	0.33	0.00	0.01	0.00	0.00	0.00	0.00	0.04	0.00	1.68	0.01	0.00	0.00	0.04	0.04
regent	TARA_026	TARA_A100000637	0-500	680	38.4323	20.1874	3.50	2.52	0.07	0.35	0.05	0.09	0.02	0.22	0.06	0.07	0.08	0.04	0.00	0.00	0.00	0.00	0.00	0.69	0.76	0.06	0.13	0.00	0.00	0.00	0.54	0.00	0.06	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	2.43	0.00	0.00	0.00	0.05	0.01
regent	TARA_027	TARA_A100000623	0-500	680	33.7694	32.7826	3.94	1.94	0.02	0.81	0.14	0.05	0.04	0.30	0.30	0.33	0.23	0.05	0.00	0.00	0.01	0.00	0.00	1.27	0.00	0.10	0.06	0.00	0.01	0.02	0.14	0.00	0.00	0.00	0.14	0.00	0.01	0.00	0.00	0.00	0.00	0.16	0.01	1.76	0.01	0.00	0.00	0.17	0.00
regent	TARA_030	TARA_A100000631	0-500	680	33.9232	32.8028	3.62	2.70	0.00	0.36	0.06	0.11	0.03	0.21	0.10	0.00	0.08	0.04	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.06	0.02	0.01	0.01	0.02	0.32	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.01	2.74	0.00	0.00	0.00	0.10	0.02
regent	TARA_031	TARA_A100001472	0-500	680	27.1500	34.8183	3.88	2.38	0.02	0.15	0.29	0.08	0.56	0.19	0.08	0.13	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.02	0.17	0.00	0.00	0.00	0.02	0.00	0.00	0.00	1.46	0.00	0.00	0.00	0.00	0.02	0.52	0.02	0.00	2.34	0.00	0.00	0.00	0.02	0.00
