Dataset	Station	Tara_Sample_ID	"Depth, nominal"	Fraction_size	Latitude	Longitude	Zooplankton	Copepoda	Rhizaria	Cnidaria	Tunicata	Eumalacostraca	Pteropoda	Chaetognatha	Other_large	Other_small	Other_unidentified	Small_grazers	Diatoms	Dinoflagelates	Acartiidae	Aetideidae	Arietellidae	Augaptilidae	Calanidae	Calanoida_unidentified	Candaciidae	Centropagidae	Corycaeidae	Eucalanidae	Euchaetidae	Harpacticoida	Heterorhabdidae	Lubbockiidae	Metridinidae	Monstrilloida	Oithonidae	Oncaeidae	Paracalanidae	Pontellidae	Rhincalanidae	Sapphirinidae	Temoridae	All Calanoida	All Cyclopoida	All Harpacticoida	All Monstrilloida	All Poecilostomatoida	Copepoda_unidentified
regent	TARA_073	TARA_P100000202	0-500	680	-12.5085	-24.3968	2.08	1.36	0.00	0.12	0.03	0.18	0.05	0.15	0.06	0.04	0.06	0.10	0.00	0.00	0.00	0.00	0.00	0.11	0.30	0.20	0.02	0.00	0.02	0.00	0.39	0.00	0.02	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	1.24	0.00	0.00	0.00	0.05	0.04
regent	TARA_074	TARA_P100000208	0-500	680	-16.0681	-28.9413	1.74	0.99	0.01	0.17	0.03	0.14	0.03	0.13	0.14	0.03	0.13	0.08	0.00	0.00	0.00	0.00	0.00	0.16	0.25	0.20	0.01	0.00	0.02	0.00	0.15	0.00	0.01	0.00	0.11	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.00	0.93	0.00	0.00	0.00	0.03	0.01
regent	TARA_075	TARA_P100000814	0-500	680	-18.0312	-32.6984	3.69	2.33	0.00	0.52	0.01	0.20	0.18	0.15	0.10	0.11	0.10	0.11	0.00	0.00	0.00	0.01	0.00	0.15	0.66	0.46	0.02	0.00	0.01	0.01	0.58	0.01	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.01	0.03	0.00	2.18	0.00	0.01	0.00	0.04	0.06
regent	TARA_076	TARA_P100000843	0-500	680	-20.9870	-35.2784	1.99	1.04	0.00	0.29	0.02	0.10	0.08	0.26	0.14	0.04	0.11	0.05	0.00	0.00	0.00	0.00	0.00	0.20	0.47	0.12	0.03	0.00	0.00	0.01	0.11	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.96	0.00	0.00	0.00	0.03	0.02
regent	TARA_077	TARA_P100000305	0-500	680	-24.5899	-43.8111	2.38	1.02	0.00	0.35	0.08	0.10	0.01	0.56	0.10	0.16	0.15	0.01	0.00	0.00	0.00	0.00	0.00	0.12	0.06	0.20	0.10	0.00	0.02	0.05	0.19	0.01	0.02	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.94	0.00	0.01	0.00	0.04	0.02
regent	TARA_078	TARA_P100000324	0-500	680	-30.1350	-43.2793	1.20	0.56	0.03	0.32	0.00	0.04	0.02	0.01	0.05	0.12	0.08	0.04	0.00	0.00	0.00	0.00	0.00	0.03	0.11	0.04	0.01	0.00	0.01	0.04	0.04	0.00	0.01	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.50	0.00	0.00	0.00	0.01	0.02
regent	TARA_079	TARA_P100000334	0-500	680	-34.4347	-47.6597	5.42	1.26	0.00	0.15	2.34	0.00	0.15	0.59	0.41	0.41	0.45	0.11	0.00	0.00	0.04	0.00	0.00	0.00	0.70	0.22	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	1.11	0.00	0.00	0.00	0.04	0.04
regent	TARA_080	TARA_P100000908	0-500	680	-40.6426	-51.9677	11.03	7.39	0.03	0.89	0.07	0.65	0.31	0.65	0.34	0.31	0.27	0.41	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.55	0.00	0.00	0.00	2.06	0.21	0.00	0.31	0.00	2.96	0.00	0.00	0.00	0.00	0.00	0.21	0.03	0.00	7.29	0.00	0.00	0.00	0.03	0.00
regent	TARA_081	TARA_P100000861	0-500	680	-44.5431	-52.3783	57.72	44.57	0.08	0.25	0.00	1.68	0.67	2.60	1.26	0.92	1.17	5.70	0.00	0.00	0.00	0.00	0.00	0.00	35.77	2.26	0.08	0.00	0.00	0.34	0.75	0.00	0.67	0.00	3.27	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	43.14	0.08	0.00	0.00	0.00	0.84
regent	TARA_082	TARA_P100000385	0-500	680	-47.1718	-58.0288	4.63	0.06	0.00	0.00	0.00	4.12	0.00	0.01	0.14	0.28	0.11	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
regent	TARA_083	TARA_P100000872	0-100	680	-54.7400	-65.5292	31.02	13.53	0.06	0.00	0.30	1.22	13.11	1.04	0.67	0.67	0.61	0.43	0.00	0.00	0.00	0.00	0.00	0.18	9.69	0.30	0.00	0.00	0.00	1.22	0.55	0.00	0.12	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.67	0.00	0.00	12.92	0.00	0.00	0.00	0.00	0.30
regent	TARA_084	TARA_P100000408	0-800	680	-60.3209	-60.5470	22.40	12.74	0.12	0.00	0.48	2.11	5.31	0.30	0.54	0.42	0.30	0.36	0.00	0.00	0.00	0.00	0.00	0.06	9.54	0.24	0.00	0.00	0.00	1.27	0.30	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	11.89	0.00	0.00	0.00	0.00	0.30
regent	TARA_085	TARA_P100001772	0-500	680	-62.1432	-49.3030	4.26	2.71	0.02	0.24	0.06	0.00	0.11	0.37	0.15	0.54	0.50	0.13	0.00	0.00	0.00	0.00	0.00	0.02	0.69	0.11	0.00	0.00	0.00	0.41	0.15	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	2.22	0.00	0.00	0.00	0.00	0.09
regent	TARA_086	TARA_P100001751	0-500	680	-64.3544	-53.0542	11.13	7.22	0.06	0.33	0.36	0.15	0.00	1.58	0.51	0.42	0.66	0.54	0.00	0.00	0.00	0.00	0.00	0.06	1.37	0.54	0.00	0.00	0.00	0.09	1.16	0.00	0.15	0.00	3.19	0.00	0.03	0.00	0.00	0.00	0.27	0.00	0.00	6.84	0.03	0.00	0.00	0.00	0.18
regent	TARA_095	TARA_P100001938	0-500	680	-31.7833	-92.3441	2.65	1.35	0.00	0.44	0.03	0.06	0.14	0.24	0.18	0.04	0.05	0.16	0.00	0.00	0.00	0.01	0.00	0.13	0.35	0.47	0.04	0.00	0.06	0.00	0.02	0.00	0.01	0.00	0.09	0.00	0.00	0.00	0.00	0.02	0.00	0.15	0.00	1.14	0.00	0.00	0.00	0.21	0.00
regent	TARA_096	TARA_P100001942	0-500	680	-29.8789	-100.4434	0.78	0.35	0.00	0.06	0.01	0.07	0.04	0.06	0.13	0.05	0.07	0.04	0.00	0.00	0.00	0.01	0.00	0.08	0.07	0.04	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.25	0.00	0.00	0.00	0.08	0.01
regent	TARA_097	TARA_P100001951	0-500	680	-28.1782	-107.6065	0.81	0.38	0.01	0.10	0.01	0.04	0.04	0.06	0.05	0.08	0.06	0.03	0.00	0.00	0.00	0.01	0.00	0.08	0.04	0.03	0.01	0.00	0.01	0.00	0.08	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.31	0.00	0.00	0.00	0.05	0.00
regent	TARA_098	TARA_P100001855	0-500	680	-25.8928	-111.6625	0.29	0.19	0.00	0.03	0.00	0.03	0.00	0.01	0.01	0.02	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.02	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.15	0.00	0.00	0.00	0.02	0.01
regent	TARA_100	TARA_P100001863	0-500	680	-13.0101	-96.1443	1.19	0.05	0.35	0.01	0.03	0.00	0.05	0.01	0.14	0.56	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
regent	TARA_102	TARA_P100001690	0-500	680	-5.2644	-85.2222	17.05	9.88	0.04	0.70	0.12	1.36	0.45	3.09	0.49	0.82	0.78	0.08	0.00	0.00	0.04	0.08	0.00	0.54	0.21	3.05	0.29	0.00	0.00	3.09	0.70	0.00	0.41	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.66	0.21	0.08	9.39	0.00	0.00	0.00	0.21	0.21
regent	TARA_106	TARA_P100001667	0-500	680	0.0480	-84.6064	29.07	17.33	3.18	1.03	1.33	0.99	0.52	1.63	0.52	2.11	1.94	0.47	0.00	0.00	0.00	0.00	0.00	0.17	0.82	2.19	0.09	0.00	0.00	5.89	2.58	0.04	0.30	0.00	1.20	0.00	0.00	0.04	0.00	0.09	2.62	0.22	0.00	15.96	0.00	0.04	0.00	0.26	0.13
regent	TARA_109	TARA_P100001543	0-500	680	1.9714	-84.5538	15.40	9.62	0.10	0.78	0.42	1.27	0.26	1.89	0.46	0.33	0.72	0.23	0.00	0.00	0.00	0.03	0.00	0.26	0.03	1.79	0.07	0.00	0.03	2.97	2.02	0.00	0.03	0.00	0.98	0.00	0.00	0.00	0.00	0.07	0.16	0.39	0.03	8.45	0.00	0.00	0.00	0.42	0.23
regent	TARA_110	TARA_P100001561	0-500	680	-1.8724	-84.6199	16.30	8.93	0.74	0.81	0.54	1.56	0.14	1.69	0.81	0.95	2.50	0.14	0.00	0.00	0.00	0.00	0.00	0.20	0.34	1.89	0.14	0.00	0.00	1.89	2.03	0.00	0.07	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.68	0.34	0.00	7.58	0.00	0.00	0.00	0.34	0.00
regent	TARA_111	TARA_P100001577	0-500	680	-18.7342	-103.3320	6.49	3.55	0.11	0.63	0.04	0.62	0.23	0.65	0.27	0.12	0.12	0.24	0.00	0.00	0.00	0.08	0.00	0.52	0.15	0.42	0.06	0.00	0.05	0.30	0.03	0.03	0.09	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.50	0.05	0.01	3.40	0.00	0.03	0.00	0.10	0.03
regent	TARA_112	TARA_P100001452	0-500	680	-23.2247	-130.1108	0.55	0.20	0.01	0.13	0.01	0.04	0.01	0.05	0.04	0.05	0.05	0.03	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.02	0.01	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.16	0.00	0.00	0.00	0.02	0.00
regent	TARA_113	TARA_P100001479	0-50	680	-23.1108	-134.9329	17.83	5.76	0.00	0.28	0.00	1.51	0.00	9.72	0.28	0.19	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	5.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.57	0.00	0.00	0.00	0.00	0.00
regent	TARA_122	TARA_P100001436	0-500	680	-9.0359	-139.2573	3.15	1.80	0.08	0.09	0.00	0.36	0.22	0.25	0.07	0.10	0.13	0.21	0.00	0.00	0.00	0.02	0.00	0.07	0.06	0.28	0.01	0.00	0.10	0.15	0.06	0.01	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	1.46	0.00	0.01	0.00	0.10	0.15
regent	TARA_123	TARA_P000000481	0-500	680	-8.9054	-140.2836	23.28	18.06	0.00	0.80	0.12	1.23	0.61	1.72	0.12	0.55	0.49	0.12	0.00	0.00	0.00	0.00	0.00	0.12	0.74	14.07	0.25	0.00	0.06	0.49	1.17	0.00	0.12	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.31	0.06	0.00	17.51	0.00	0.00	0.00	0.12	0.12
regent	TARA_125	TARA_P100001011	0-500	680	-8.8993	-142.5806	20.44	8.35	0.92	0.46	0.17	2.13	3.57	3.34	0.52	0.81	0.81	0.23	0.00	0.00	0.00	0.00	0.00	0.12	0.12	2.02	0.12	0.00	0.23	0.81	1.73	0.00	0.12	0.00	1.44	0.00	0.00	0.00	0.00	0.00	1.32	0.06	0.00	7.77	0.00	0.00	0.00	0.29	0.12
regent	TARA_126	TARA_P100001409	0-500	680	-11.9774	-151.1478	3.09	1.66	0.02	0.08	0.06	0.32	0.04	0.28	0.14	0.11	0.13	0.39	0.00	0.00	0.00	0.01	0.00	0.08	0.15	0.28	0.05	0.00	0.02	0.14	0.19	0.01	0.02	0.00	0.16	0.00	0.00	0.00	0.00	0.01	0.37	0.12	0.00	1.44	0.00	0.01	0.00	0.14	0.06
regent	TARA_127	TARA_P000000759	0-500	680	-7.0392	-152.4877	5.95	3.62	0.03	0.26	0.00	0.52	0.08	0.93	0.10	0.15	0.19	0.26	0.00	0.00	0.00	0.02	0.00	0.11	0.31	1.23	0.13	0.00	0.08	0.13	1.06	0.00	0.06	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.03	0.05	0.00	3.25	0.00	0.00	0.00	0.13	0.08
regent	TARA_128	TARA_P000000761	0-500	680	-0.3946	-153.4221	4.22	2.08	0.06	0.06	0.05	0.06	0.04	0.48	0.40	0.15	0.28	0.86	0.00	0.00	0.00	0.01	0.00	0.04	0.08	0.52	0.04	0.01	0.02	0.45	0.66	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.06	0.09	0.00	1.89	0.00	0.00	0.00	0.11	0.03
regent	TARA_129	TARA_P000001524	0-500	680	6.3146	-153.2110	7.31	4.80	0.07	0.33	0.02	0.52	0.02	0.67	0.33	0.19	0.19	0.30	0.00	0.00	0.00	0.04	0.00	0.07	0.17	0.76	0.19	0.00	0.00	0.43	1.91	0.00	0.06	0.00	0.50	0.00	0.00	0.00	0.00	0.02	0.24	0.28	0.00	4.38	0.00	0.00	0.00	0.28	0.07
regent	TARA_130	TARA_P000000789	0-500	680	11.2599	-152.4187	4.17	2.30	0.15	0.11	0.00	0.19	0.06	0.13	0.17	0.08	0.17	0.98	0.00	0.00	0.00	0.08	0.00	0.25	0.13	0.23	0.10	0.00	0.00	0.21	0.63	0.02	0.04	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.31	0.06	0.00	2.16	0.00	0.02	0.00	0.06	0.00
regent	TARA_131	TARA_P100001071	0-500	680	22.7519	-158.0013	4.80	3.04	0.23	0.35	0.06	0.27	0.22	0.21	0.22	0.11	0.22	0.11	0.00	0.00	0.00	0.01	0.00	0.28	0.17	0.75	0.08	0.00	0.01	0.12	1.11	0.01	0.02	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.01	2.82	0.00	0.01	0.00	0.05	0.05
regent	TARA_132	TARA_P100001085	0-500	680	32.0050	-157.5693	4.89	2.06	0.76	0.66	0.08	0.31	0.02	0.31	0.42	0.17	0.27	0.10	0.00	0.00	0.00	0.03	0.00	0.34	0.19	0.32	0.02	0.00	0.00	0.10	0.75	0.00	0.03	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	1.95	0.00	0.00	0.00	0.08	0.00
regent	TARA_133	TARA_P100001104	0-500	680	35.0127	-127.3227	16.87	11.16	2.48	0.54	0.12	0.21	0.04	0.79	0.41	0.62	0.74	0.50	0.00	0.00	0.00	0.00	0.00	0.08	1.03	2.48	0.04	0.00	0.00	1.32	0.99	0.12	0.21	0.00	4.26	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	10.67	0.00	0.12	0.00	0.00	0.12
regent	TARA_134	TARA_P100001128	0-500	680	32.6714	-121.9884	21.15	15.37	2.10	0.89	0.14	0.33	0.14	0.84	0.33	0.28	0.33	0.70	0.00	0.00	0.00	0.00	0.00	0.00	9.32	1.86	0.00	0.00	0.00	0.75	0.28	0.00	0.14	0.00	1.49	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	15.05	0.00	0.00	0.00	0.00	0.14
regent	TARA_135	TARA_P100001400	0-500	680	33.0171	-121.3860	25.16	15.30	1.90	1.20	0.63	0.49	0.35	1.69	1.34	1.27	1.55	0.99	0.00	0.00	0.00	0.07	0.00	0.00	8.39	2.61	0.07	0.00	0.00	0.49	0.35	0.00	0.42	0.00	1.55	0.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	14.87	0.00	0.00	0.00	0.00	0.00
regent	TARA_136	TARA_P100001178	0-500	680	21.7716	-119.3529	7.63	4.44	0.02	0.38	0.69	0.67	0.45	0.67	0.21	0.11	0.16	0.02	0.00	0.00	0.00	0.00	0.00	0.06	0.02	0.75	0.05	0.00	0.00	1.20	1.68	0.00	0.10	0.00	0.21	0.00	0.00	0.00	0.00	0.10	0.00	0.22	0.00	4.15	0.00	0.00	0.00	0.22	0.00
regent	TARA_137	TARA_P100001141	0-500	680	13.8196	-115.8975	12.92	9.79	0.04	0.04	0.23	1.17	0.09	0.65	0.53	0.26	0.32	0.16	0.00	0.00	0.00	0.00	0.00	0.05	0.11	0.77	0.04	0.00	0.00	2.57	4.80	0.00	0.14	0.00	0.81	0.00	0.00	0.00	0.00	0.05	0.05	0.14	0.00	9.38	0.00	0.00	0.00	0.14	0.19
regent	TARA_138	TARA_P100001190	0-500	680	6.3448	-103.0119	13.25	9.01	0.06	0.45	0.16	0.57	0.16	1.37	0.38	0.32	0.19	0.54	0.00	0.00	0.00	0.06	0.00	0.61	0.22	1.66	0.10	0.00	0.03	2.33	2.43	0.00	0.16	0.00	0.61	0.00	0.00	0.00	0.00	0.03	0.42	0.16	0.00	8.62	0.00	0.00	0.00	0.19	0.03
regent	TARA_139	TARA_P100001215	0-500	680	6.3493	-95.1820	21.47	15.17	0.08	0.96	0.40	1.36	0.24	2.71	0.40	0.00	0.32	0.16	0.00	0.00	0.00	0.00	0.00	0.32	0.32	2.24	0.00	0.00	0.00	7.42	2.31	0.00	0.24	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.40	0.16	0.16	14.85	0.00	0.00	0.00	0.16	0.16
regent	TARA_140	TARA_P100001230	0-500	680	7.4155	-79.3107	19.24	16.99	0.47	0.19	0.28	0.47	0.09	0.28	0.28	0.09	0.28	0.19	0.00	0.00	0.00	0.00	0.00	0.28	0.56	0.84	0.09	0.00	0.00	12.01	1.88	0.00	0.38	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	17.08	0.00	0.00	0.00	0.00	0.00
regent	TARA_141	TARA_K100000735	0-500	680	9.8432	-80.0613	1.01	0.59	0.00	0.12	0.00	0.25	0.00	0.01	0.01	0.03	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.07	0.13	0.04	0.00	0.03	0.00	0.07	0.00	0.01	0.00	0.07	0.00	0.00	0.00	0.00	0.01	0.04	0.07	0.00	0.45	0.00	0.00	0.00	0.09	0.00
regent	TARA_142	TARA_K100000744	0-500	680	25.5516	-86.1560	3.26	1.52	0.00	0.82	0.04	0.33	0.08	0.11	0.15	0.12	0.10	0.05	0.00	0.00	0.00	0.00	0.00	0.14	0.12	0.05	0.04	0.00	0.00	0.05	0.03	0.00	0.01	0.00	0.30	0.00	0.01	0.00	0.00	0.01	0.63	0.04	0.00	1.40	0.01	0.00	0.00	0.04	0.03
regent	TARA_143	TARA_K100000779	0-500	680	30.0803	-79.5281	3.26	1.68	0.04	0.68	0.00	0.32	0.04	0.20	0.16	0.07	0.16	0.07	0.00	0.00	0.00	0.00	0.00	0.27	0.07	0.39	0.13	0.00	0.00	0.00	0.27	0.00	0.03	0.00	0.32	0.00	0.00	0.00	0.00	0.01	0.09	0.04	0.00	1.58	0.00	0.00	0.00	0.04	0.01
regent	TARA_144	TARA_K100000817	0-500	680	35.8180	-73.6278	5.98	3.57	0.06	0.78	0.08	0.40	0.08	0.41	0.25	0.11	0.26	0.28	0.00	0.00	0.00	0.03	0.00	0.17	0.18	1.52	0.09	0.00	0.00	0.05	0.32	0.00	0.06	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	3.48	0.00	0.00	0.00	0.00	0.02
regent	TARA_145	TARA_K100000824	0-500	680	39.1839	-70.0565	7.34	6.06	0.22	0.40	0.04	0.10	0.02	0.06	0.04	0.08	0.16	0.32	0.00	0.00	0.00	0.00	0.00	0.02	2.21	0.56	0.04	0.00	0.00	0.10	0.18	0.00	0.06	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	5.97	0.00	0.00	0.00	0.00	0.06
regent	TARA_146	TARA_P000002335	0-500	680	34.8430	-71.3082	5.79	2.86	0.17	1.13	0.05	0.17	0.05	0.61	0.34	0.15	0.34	0.30	0.00	0.00	0.00	0.03	0.00	0.07	0.13	0.20	0.08	0.00	0.00	0.05	0.32	0.00	0.07	0.00	1.68	0.00	0.00	0.00	0.00	0.00	0.19	0.02	0.00	2.83	0.00	0.00	0.00	0.02	0.02
regent	TARA_147	TARA_P100001294	0-500	680	32.9779	-66.5472	2.66	0.79	0.06	0.81	0.04	0.16	0.17	0.14	0.18	0.06	0.12	0.25	0.00	0.00	0.00	0.02	0.00	0.03	0.03	0.10	0.07	0.00	0.00	0.01	0.04	0.00	0.02	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.70	0.00	0.00	0.00	0.01	0.01
regent	TARA_148	TARA_P100001304	0-500	680	32.5931	-61.4917	3.87	1.00	0.05	0.94	0.11	0.36	0.08	0.34	0.29	0.18	0.20	0.54	0.00	0.00	0.00	0.01	0.00	0.04	0.02	0.05	0.29	0.00	0.00	0.01	0.13	0.00	0.03	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.94	0.00	0.00	0.00	0.02	0.01
regent	TARA_149	TARA_P100001373	0-500	680	34.0862	-49.8109	5.87	2.63	0.09	0.47	0.25	0.32	0.19	0.60	0.37	0.18	0.19	0.79	0.00	0.00	0.00	0.00	0.00	0.05	0.11	0.42	0.16	0.00	0.02	0.12	0.30	0.00	0.11	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.09	0.05	0.00	2.51	0.00	0.00	0.00	0.07	0.02
regent	TARA_150	TARA_P100001344	0-500	680	35.8387	-37.1607	10.40	4.81	0.16	0.94	0.27	0.41	0.07	0.73	0.43	0.18	0.36	2.46	0.00	0.00	0.00	0.09	0.00	0.14	0.62	2.12	0.25	0.00	0.11	0.09	0.39	0.00	0.07	0.00	0.34	0.00	0.00	0.00	0.00	0.05	0.02	0.34	0.00	4.17	0.00	0.00	0.00	0.46	0.09
regent	TARA_151	TARA_P100001991	0-500	680	35.8528	-29.1851	9.38	3.64	0.14	0.89	0.86	0.54	0.32	1.32	0.68	0.46	0.54	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.93	0.32	0.00	0.04	0.04	0.36	0.00	0.18	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00	3.10	0.00	0.00	0.00	0.46	0.00
regent	TARA_152	TARA_P100002114	0-500	680	43.2231	-17.5565	7.68	0.65	0.02	0.06	0.26	0.04	6.32	0.02	0.15	0.13	0.19	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.19	0.00	0.00	0.00	0.02	0.04	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00
regent	TARA_153	TARA_P100002103	0-500	680	44.0565	-16.5436	2.78	0.74	0.00	0.11	0.10	0.03	1.51	0.01	0.03	0.18	0.13	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.20	0.01	0.01	0.00	0.01	0.09	0.00	0.04	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.72	0.00	0.00	0.00	0.01	0.01
regent	TARA_155	TARA_P100004546	0-500	680	54.5963	-16.6663	5.83	0.32	0.00	0.23	4.98	0.00	0.00	0.03	0.03	0.20	0.09	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.06	0.06	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00
regent	TARA_158	TARA_P100004208	0-500	680	67.1869	0.3020	86.40	69.33	0.00	1.92	2.56	0.00	0.00	6.19	4.91	1.28	0.85	0.21	0.00	0.00	0.00	0.00	0.00	0.00	57.39	2.35	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.00	8.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	69.33	0.00	0.00	0.00	0.00	0.00
regent	TARA_163	TARA_P100004232	0-500	680	76.0888	1.4763	55.52	40.75	0.00	0.27	0.14	0.41	0.00	10.12	1.91	0.27	0.82	1.64	0.00	0.00	0.00	0.00	0.00	0.00	33.23	1.37	0.00	0.00	0.00	0.55	0.14	0.00	0.27	0.00	3.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39.52	0.00	0.00	0.00	0.00	0.14
regent	TARA_168	TARA_P100004286	0-250	680	72.5593	44.0922	28.46	27.27	0.00	0.07	0.00	0.26	0.00	0.46	0.10	0.30	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.07	20.76	0.56	0.00	0.00	0.00	0.20	0.20	0.00	0.00	0.00	4.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.61	0.00	0.00	0.00	0.00	0.07
regent	TARA_173	TARA_P100004342	0-50	680	78.9537	79.3788	84.92	43.23	0.00	0.00	1.69	0.00	0.00	1.54	1.08	2.31	0.62	34.77	0.00	0.00	0.00	0.00	0.00	0.00	38.62	1.85	0.00	0.00	0.00	0.31	0.15	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.54	0.00	0.00	0.00	0.00	0.15
regent	TARA_175	TARA_P100004390	0-400	680	79.2990	66.3922	47.33	41.18	0.00	0.78	0.67	0.00	0.00	0.45	1.12	2.24	1.45	1.01	0.00	0.00	0.00	0.00	0.00	0.00	32.00	1.01	0.00	0.00	0.00	0.00	0.45	0.00	0.11	0.00	6.60	0.00	0.11	0.00	0.00	0.11	0.00	0.00	0.00	40.28	0.11	0.00	0.00	0.00	0.34
regent	TARA_178	TARA_P100004009	0-200	680	77.2098	73.2033	833.22	797.35	0.00	1.63	21.20	1.63	0.00	0.00	1.63	9.78	8.15	0.00	0.00	0.00	0.00	0.00	0.00	3.26	761.48	6.52	0.00	0.00	0.00	4.89	0.00	0.00	1.63	0.00	9.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	787.57	0.00	0.00	0.00	0.00	0.00
regent	TARA_180	TARA_P100003939	0-35	680	74.8024	76.1503	30.77	18.77	0.00	3.29	2.71	0.06	0.06	3.74	0.19	1.94	0.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.39	0.45	0.00	0.00	0.00	0.06	0.13	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.39	0.00	0.00	0.00	0.00	0.00
